productId,productMercantId,merchantId,provinceCnName,mainProductId,isYiHaoDian,cutoffTimeKey,isRuleType,mcSiteKey,categoryId,experoienceProductId,productType,isShengxianProd,newBrandLogoUrl,currProductClass,topCategoryId,yingyangTabSwith,brandID,backCategoryId,storeId,pointSiteKey,lastCategory,onlineCustomUserId,yhdFreshFoodKeyId,isSecondHandProduct,isFbyProd,urlProductId,companyName,detailOldForNewService,brandName,oneKeyGoDomain,threeAreas,hasStockNum,isCanSale,combinePositionKey,product_amount
2582699,8284213,1,上海,2582699,1,1,-1,3,5073,2582699,0,0,http://d6.yihaodianimg.com/N03/M01/24/00/CgQCtFK36byAU7lSAAB8AmN74V4744.jpg,5009,5009,1,937692,5073,1,0,牙膏,0,1,0,0,2582699,1号店,0,Saky/舒客,,0,15,1,0,1
2391672,2585288,1,上海,2391672,1,1,-1,3,5073,2391672,0,0,,5009,5009,1,133,5073,1,0,牙膏,0,1,0,0,2391672,1号店,0,中华,,0,48,1,0,1
2245014,2443904,1,上海,2245014,1,1,0,3,5073,2245014,0,0,http://d6.yihaodianimg.com/N02/M01/0B/B0/CgQCsVKVUoOAJPFBAAATd3B5kaU717.jpg,5009,5009,1,1437,5073,1,0,牙膏,0,1,0,0,2245014,1号店,0,竹盐,,0,450,1,0,1
1635614,1820043,1,上海,1635614,1,1,-1,3,5073,1635614,0,0,http://d6.yihaodianimg.com/N01/M01/2C/80/CgQCrVK70wWAAp5gAAAuggwMrCU644.jpg,5009,5009,1,6352,5073,1,0,牙膏,0,1,0,0,1635614,1号店,0,上海防酸,,0,155,1,0,1
17754046,20921942,1,上海,17754046,1,1,-1,3,5073,17754046,3,0,http://d6.yihaodianimg.com/N01/M02/28/6D/CgQCr1K37eyAAq1jAABki8RJTWQ603.jpg,5009,5009,1,8632,5073,1,0,牙膏,0,1,0,0,17754046,1号店,0,皓乐齿,,0,88,1,0,1
976494,1010542,1,上海,976494,1,1,-1,3,5073,976494,0,0,http://d6.yihaodianimg.com/N02/M07/28/91/CgQCsFK375yAFEh0AABqW7_DzpM607.jpg,5009,5009,1,142,5073,1,0,牙膏,0,1,0,0,976494,1号店,0,黑人,,0,966,1,0,1
1801234,1989278,1,上海,1801234,1,1,-1,3,5073,1801234,0,0,http://d6.yihaodianimg.com/N02/M01/0B/B0/CgQCsVKVUoOAJPFBAAATd3B5kaU717.jpg,5009,5009,1,1437,5073,1,0,牙膏,0,1,0,0,1801234,1号店,0,竹盐,,0,434,1,0,1
5949960,6986714,1,上海,5949960,1,1,-1,3,5073,5949960,0,0,http://d6.yihaodianimg.com/N04/M09/FA/23/CgQDrlLM2Z6ARwFNAAAiWST8PzY335.jpg,5009,5009,1,906351,5073,1,0,牙膏,0,1,0,0,5949960,1号店,0,FE,,0,47,1,0,1
9533502,10765261,2606,上海,9533502,0,1,0,3,5073,9533502,0,0,http://d6.yihaodianimg.com/N04/M00/E7/A5/CgQDrVK37nSABtptAACBwvSzxI0853.jpg,5009,5009,0,912848,5073,2606,0,牙膏,0,0,0,0,9533502,壹药网官方旗舰店,0,舒适达,,0,329,1,0,9576
1626588,1810550,1,上海,1626588,1,1,-1,3,5073,1626588,0,0,http://d6.yihaodianimg.com/N04/M00/D0/59/CgQDr1KcRfuAOPATAAB-ZwyeRys882.jpg,5009,5009,1,141,5073,1,0,牙膏,0,1,0,0,1626588,1号店,0,Colgate/高露洁,,0,969,1,0,1
