jd_id,title,info,img_url
650896,萃华金店戒指,商品名称：萃华金店戒指;商品编号：650896;品牌：萃华金店;上架时间：2012-05-25 14:18:39;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：黄金;适用人群：男，女，情侣;圈号：活口,http://img11.360buyimg.com/n1/g5/M00/03/03/rBEIC0_YEVQIAAAAAAFQVbKL4IsAAAmswHwdAsAAVBt768.jpg
650897,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650897;品牌：萃华金店;上架时间：2012-05-25 14:18:42;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img12.360buyimg.com/n1/g5/M02/02/1A/rBEIC0_VqKkIAAAAAAC3zWurORMAAAjfwB1WUgAALfl259.jpg
650898,萃华金店女戒,商品名称：萃华金店女戒;商品编号：650898;品牌：萃华金店;上架时间：2012-05-25 14:18:42;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：黄金;适用人群：女;圈号：活口,http://img13.360buyimg.com/n1/g5/M00/03/03/rBEIC0_YEVYIAAAAAAFVutKB0wwAAAmswH-eGcAAVXS332.jpg
650899,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650899;品牌：萃华金店;上架时间：2012-05-25 14:18:50;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img14.360buyimg.com/n1/g5/M02/02/1A/rBEIDE_VqK0IAAAAAAFHTPzXjFAAAAjfwCtwccAAUdk556.jpg
650900,爱国者黑暗骑士550GV,商品名称：爱国者黑暗骑士550GV;商品编号：650900;品牌：爱国者（aigo）;上架时间：2013-08-14 08:12:04;商品毛重：2.2kg;商品产地：中国大陆;功率：401W-500W;电源类型：非模组;显卡供电接口：单个,http://img10.360buyimg.com/n1/g9/M03/10/1D/rBEHalDO2WoIAAAAAAHdoZYSasMAADTfAN43I0AAd25185.jpg
650901,萃华金店手镯,商品名称：萃华金店手镯;商品编号：650901;品牌：萃华金店;上架时间：2012-05-25 14:18:55;商品毛重：80.00g;商品产地：中国大陆;类别：手镯;款式：婚庆，其他;材质：黄金,http://img11.360buyimg.com/n1/g5/M02/0E/03/rBEIDE_qyREIAAAAAAFfEwuotzQAACwXAAOpv4AAV8r711.jpg
650902,闪辉12A1365,商品名称：闪辉12A1365;商品编号：650902;品牌：闪辉（Benefly）;上架时间：2012-11-12 10:20:53;商品毛重：440.00g;商品产地：中国大陆;配件类型：非原装笔记本配件;类别：电源适配器;适用机型：：笔记本,http://img12.360buyimg.com/n1/g5/M00/00/1A/rBEIDE-_R18IAAAAAAGNhoUsZP0AAAKXQI-mqUAAY2e094.jpg
650903,萃华金店黄金项链,商品名称：萃华金店黄金项链;商品编号：650903;品牌：萃华金店;上架时间：2012-05-25 14:18:57;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：项链;款式：其他;材质：黄金;适用人群：男，女,http://img13.360buyimg.com/n1/g5/M02/0A/00/rBEDik_i5rgIAAAAAADAIW7lKaAAAB9XgHrIcYAAMA5868.jpg
650904,萃华金店戒指,商品名称：萃华金店戒指;商品编号：650904;品牌：萃华金店;上架时间：2012-05-25 14:19:01;商品毛重：30.00g;商品产地：中国大陆;是否镶嵌：否;材质：黄金;适用人群：男，女，情侣;圈号：活口,http://img14.360buyimg.com/n1/g5/M00/03/03/rBEIC0_YEVkIAAAAAAEn6GIPZCYAAAmswIRHkUAASgA836.jpg
650905,萃华金店吊坠,商品名称：萃华金店吊坠;商品编号：650905;品牌：萃华金店;上架时间：2012-05-25 14:19:02;商品毛重：80.00g;商品产地：中国大陆;是否镶嵌：否;类别：吊坠;款式：其他;材质：黄金;适用人群：女,http://img10.360buyimg.com/n1/g5/M02/02/1A/rBEIDE_VqLEIAAAAAAC3zWurORMAAAjfwDjR2cAALfl010.jpg
